"","aln","pars.site","tot.sites","pars.site.prop","rf.distance"
"1","uce-1003.nexus",859,2414,0.355840927920464,30
"2","uce-1005.nexus",771,2260,0.341150442477876,30
"3","uce-1008.nexus",556,2166,0.256694367497692,22
"4","uce-101.nexus",684,2298,0.297650130548303,26
"5","uce-1010.nexus",1012,2368,0.427364864864865,22
"6","uce-1012.nexus",503,2238,0.224754244861483,28
"7","uce-1018.nexus",1232,2833,0.434874691140134,50
"8","uce-102.nexus",1113,2400,0.46375,38
"9","uce-1021.nexus",861,2280,0.377631578947368,32
"10","uce-1025.nexus",1413,2692,0.524888558692422,44
"11","uce-1029.nexus",586,2195,0.266970387243736,30
"12","uce-1034.nexus",883,2338,0.377673224978614,42
"13","uce-1035.nexus",983,2275,0.432087912087912,16
"14","uce-1037.nexus",945,2492,0.379213483146067,34
"15","uce-1038.nexus",1032,2718,0.379690949227373,42
"16","uce-1041.nexus",1014,2435,0.416427104722793,24
"17","uce-1043.nexus",817,2367,0.345162653147444,18
"18","uce-1044.nexus",1076,2307,0.46640658864326,14
"19","uce-1047.nexus",1026,2319,0.442432082794308,30
"20","uce-1048.nexus",713,2332,0.305746140651801,28
"21","uce-1050.nexus",891,2300,0.387391304347826,28
"22","uce-1051.nexus",921,2283,0.403416557161629,26
"23","uce-1052.nexus",402,2233,0.180026869682042,50
"24","uce-1053.nexus",1269,2586,0.490719257540603,36
"25","uce-1054.nexus",629,2649,0.237448093620234,28
"26","uce-1055.nexus",1218,2570,0.473929961089494,28
"27","uce-1058.nexus",1074,2444,0.439443535188216,24
"28","uce-1060.nexus",1171,2737,0.427840701497991,24
"29","uce-1061.nexus",1118,2523,0.44312326595323,30
"30","uce-1062.nexus",1328,2578,0.515128006206362,24
"31","uce-1069.nexus",973,2444,0.398117839607201,38
"32","uce-1070.nexus",1219,2375,0.513263157894737,30
"33","uce-1077.nexus",947,2272,0.41681338028169,32
"34","uce-1081.nexus",1123,2400,0.467916666666667,38
"35","uce-1084.nexus",759,2665,0.284803001876173,22
"36","uce-1085.nexus",964,2400,0.401666666666667,30
"37","uce-1090.nexus",1261,2684,0.469821162444113,24
"38","uce-1092.nexus",436,2343,0.186086214255228,50
"39","uce-1094.nexus",776,2393,0.324279147513581,30
"40","uce-1098.nexus",921,2204,0.417876588021779,12
"41","uce-110.nexus",674,2334,0.288774635818338,36
"42","uce-1100.nexus",761,2231,0.341102644554012,20
"43","uce-1101.nexus",1399,2691,0.519881085098476,22
"44","uce-111.nexus",1200,3028,0.396301188903567,24
"45","uce-1110.nexus",822,2455,0.334826883910387,38
"46","uce-1113.nexus",1107,2359,0.469266638406104,24
"47","uce-1119.nexus",1261,2430,0.518930041152263,20
"48","uce-1121.nexus",1534,2829,0.542241074584659,46
"49","uce-1122.nexus",653,2223,0.293747188484031,26
"50","uce-1123.nexus",317,2181,0.145346171480972,64
"51","uce-1127.nexus",831,2366,0.351225697379544,40
