"","aln","pars.site","tot.sites","pars.site.prop","rf.distance"
"1","uce-1003.nexus",29,320,0.090625,122
"2","uce-1005.nexus",6,322,0.0186335403726708,140
"3","uce-1008.nexus",29,322,0.0900621118012422,114
"4","uce-101.nexus",8,380,0.0210526315789474,136
"5","uce-1010.nexus",26,320,0.08125,108
"6","uce-1012.nexus",18,320,0.05625,136
"7","uce-1018.nexus",20,320,0.0625,106
"8","uce-102.nexus",34,326,0.104294478527607,120
"9","uce-1021.nexus",101,341,0.296187683284457,90
"10","uce-1025.nexus",118,365,0.323287671232877,74
"11","uce-1029.nexus",9,321,0.0280373831775701,136
"12","uce-1034.nexus",30,321,0.0934579439252336,104
"13","uce-1035.nexus",43,320,0.134375,106
"14","uce-1037.nexus",23,337,0.0682492581602374,120
"15","uce-1038.nexus",23,440,0.0522727272727273,122
"16","uce-1041.nexus",22,382,0.0575916230366492,130
"17","uce-1043.nexus",15,380,0.0394736842105263,132
"18","uce-1044.nexus",24,383,0.0626631853785901,116
"19","uce-1047.nexus",69,387,0.178294573643411,114
"20","uce-1048.nexus",40,384,0.104166666666667,112
"21","uce-1050.nexus",32,329,0.0972644376899696,98
"22","uce-1051.nexus",15,321,0.0467289719626168,124
"23","uce-1052.nexus",11,380,0.0289473684210526,134
"24","uce-1053.nexus",63,444,0.141891891891892,82
"25","uce-1054.nexus",28,321,0.0872274143302181,112
"26","uce-1055.nexus",87,356,0.24438202247191,62
"27","uce-1058.nexus",23,328,0.0701219512195122,124
"28","uce-1060.nexus",59,329,0.179331306990881,98
"29","uce-1061.nexus",23,320,0.071875,130
"30","uce-1062.nexus",29,394,0.0736040609137056,130
"31","uce-1069.nexus",10,320,0.03125,130
"32","uce-1070.nexus",21,333,0.0630630630630631,134
"33","uce-1077.nexus",48,323,0.148606811145511,120
"34","uce-1081.nexus",35,320,0.109375,102
"35","uce-1084.nexus",21,324,0.0648148148148148,120
"36","uce-1085.nexus",23,320,0.071875,116
"37","uce-1090.nexus",121,539,0.224489795918367,86
"38","uce-1092.nexus",17,320,0.053125,120
"39","uce-1094.nexus",21,440,0.0477272727272727,120
"40","uce-1098.nexus",35,324,0.108024691358025,98
"41","uce-110.nexus",42,320,0.13125,132
"42","uce-1100.nexus",113,341,0.331378299120235,78
"43","uce-1101.nexus",32,384,0.0833333333333333,106
