scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,type,micro.macro
1,1,100000,53699,5749,2044,23.375,10.875,0.365,0.0217,0.0166,autosome,macro
1,100001,200000,152065,6926,1944,45.625,25.625,0.2807,0.0389,0.0295,autosome,macro
1,200001,300000,251080,8559,2492,74.375,57.625,0.1269,0.0283,0.0197,autosome,macro
1,300001,400000,347295,8763,2253,83.5,53.75,0.2168,0.0545,0.0358,autosome,macro
1,400001,500000,442260,7454,1735,70.375,47.625,0.1928,0.0588,0.0367,autosome,macro
1,500001,600000,556822,6097,1288,49.5,33,0.2,0.0568,0.0375,autosome,macro
1,600001,700000,649215,9313,2400,129.5,65.25,0.3299,0.1024,0.0642,autosome,macro
1,700001,800000,748208,7762,2012,95.125,54.625,0.2705,0.0925,0.0556,autosome,macro
1,800001,900000,845417,4482,1004,44.25,31.5,0.1683,0.0675,0.0417,autosome,macro
1,900001,1000000,953379,2863,415,26.375,10.375,0.4354,0.1888,0.1267,autosome,macro
1,1000001,1100000,1057600,5131,916,52.375,26.875,0.3218,0.1206,0.0782,autosome,macro
1,1100001,1200000,1151717,7925,2365,133.875,86.375,0.2157,0.0818,0.0502,autosome,macro
1,1200001,1300000,1248502,8178,2583,142,52.75,0.4583,0.1439,0.0942,autosome,macro
1,1300001,1400000,1353384,8066,2319,149.5,77,0.3201,0.1418,0.0851,autosome,macro
1,1400001,1500000,1450659,8557,2554,113.75,85.25,0.1432,0.0515,0.032,autosome,macro
1,1500001,1600000,1550506,7360,2102,133.25,71.25,0.3032,0.1258,0.078,autosome,macro
1,1600001,1700000,1650147,7222,2319,135.125,71.125,0.3103,0.1196,0.0737,autosome,macro
1,1700001,1800000,1751200,7725,2571,118.625,68.125,0.2704,0.0874,0.0554,autosome,macro
1,1800001,1900000,1851199,10314,3704,193.5,121,0.2305,0.0921,0.0536,autosome,macro
1,1900001,2000000,1949050,10473,3809,185.125,106.875,0.268,0.0906,0.0571,autosome,macro
1,2000001,2100000,2047360,8919,3127,144.75,87.25,0.2478,0.0753,0.0477,autosome,macro
1,2100001,2200000,2150058,8382,3048,124.125,80.125,0.2154,0.0575,0.036,autosome,macro
1,2200001,2300000,2250814,7812,2821,131.375,78.875,0.2497,0.0804,0.0517,autosome,macro
1,2300001,2400000,2349397,7728,2711,134.125,80.375,0.2506,0.0818,0.0531,autosome,macro
1,2400001,2500000,2450061,7725,2648,65.625,59.375,0.05,0.0095,0.0063,autosome,macro
1,2500001,2600000,2550709,7885,2826,73.125,98.875,-0.1497,-0.0348,-0.0234,autosome,macro
1,2600001,2700000,2650394,8257,2942,76.125,89.125,-0.0787,-0.0176,-0.0117,autosome,macro
1,2700001,2800000,2752418,7298,2524,42.75,43.75,-0.0116,-0.0017,-0.0012,autosome,macro
1,2800001,2900000,2849161,7797,2727,102,62,0.2439,0.0561,0.0381,autosome,macro
1,2900001,3000000,2949385,7499,2752,145.875,77.625,0.3054,0.0942,0.0636,autosome,macro
1,3000001,3100000,3048960,7398,2729,118.25,75,0.2238,0.0656,0.0432,autosome,macro
1,3100001,3200000,3149967,6134,2000,72,60,0.0909,0.0269,0.0173,autosome,macro
1,3200001,3300000,3249404,7455,2958,105,54.75,0.3146,0.0677,0.0451,autosome,macro
1,3300001,3400000,3348363,8245,3019,142.625,86.375,0.2456,0.0813,0.0506,autosome,macro
1,3400001,3500000,3451864,6789,2205,100.375,66.625,0.2021,0.0714,0.043,autosome,macro
1,3500001,3600000,3548942,7022,2449,113,81,0.1649,0.0527,0.0344,autosome,macro
1,3600001,3700000,3649494,7440,2716,136.625,73.375,0.3012,0.1095,0.0694,autosome,macro
1,3700001,3800000,3752866,8402,3266,160.875,93.625,0.2642,0.0939,0.0593,autosome,macro
1,3800001,3900000,3846936,7764,2913,146.375,82.875,0.277,0.0956,0.0622,autosome,macro
1,3900001,4000000,3948221,7467,2675,137.125,75.125,0.2921,0.1118,0.0681,autosome,macro
1,4000001,4100000,4050462,7476,2686,83.125,72.125,0.0709,0.0173,0.0102,autosome,macro
1,4100001,4200000,4147679,6175,1950,65.625,65.125,0.0038,0.0011,0.0006,autosome,macro
1,4200001,4300000,4251431,6759,2112,61.125,42.875,0.1755,0.0337,0.0212,autosome,macro
1,4300001,4400000,4350030,6744,2176,40.75,42.5,-0.021,-0.0034,-0.002,autosome,macro
1,4400001,4500000,4448093,7204,2394,47,38.75,0.0962,0.0143,0.009,autosome,macro
1,4500001,4600000,4550614,6910,2472,45.25,35,0.1277,0.0192,0.0119,autosome,macro
1,4600001,4700000,4649344,6709,2262,51,21.75,0.4021,0.0571,0.0359,autosome,macro
