scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,type,micro.macro
1,1,100000,53699,5749,2100,54.625,21.375,0.4375,0.0636,0.04,autosome,macro
1,100001,200000,152065,6926,2086,76.625,79.625,-0.0192,-0.0052,-0.0033,autosome,macro
1,200001,300000,251080,8559,2596,74,103.5,-0.1662,-0.0502,-0.0296,autosome,macro
1,300001,400000,347295,8763,2315,79.375,75.625,0.0242,0.006,0.0038,autosome,macro
1,400001,500000,442260,7454,1826,94.75,59.25,0.2305,0.0699,0.0467,autosome,macro
1,500001,600000,556822,6097,1209,45.25,45.75,-0.0055,-0.0015,-0.001,autosome,macro
1,600001,700000,649215,9313,2654,118,96.75,0.099,0.0261,0.0173,autosome,macro
1,700001,800000,748208,7762,2088,114.875,72.875,0.2237,0.0717,0.0479,autosome,macro
1,800001,900000,845417,4482,950,36,26.75,0.1474,0.0412,0.0273,autosome,macro
1,900001,1000000,953379,2863,389,13,15.25,-0.0796,-0.0301,-0.0176,autosome,macro
1,1000001,1100000,1057600,5131,948,35.25,34.25,0.0144,0.004,0.0026,autosome,macro
1,1100001,1200000,1151717,7925,2396,105.875,102.875,0.0144,0.0046,0.0029,autosome,macro
1,1200001,1300000,1248502,8178,2760,108.5,94.25,0.0703,0.0193,0.0126,autosome,macro
1,1300001,1400000,1353384,8066,2463,117.375,80.375,0.1871,0.0531,0.0356,autosome,macro
1,1400001,1500000,1450659,8557,2679,109.375,119.375,-0.0437,-0.0149,-0.0094,autosome,macro
1,1500001,1600000,1550506,7360,2216,80,87,-0.0419,-0.0121,-0.0074,autosome,macro
1,1600001,1700000,1650147,7222,2461,126.75,86.75,0.1874,0.0577,0.0379,autosome,macro
1,1700001,1800000,1751200,7725,2650,110.5,113,-0.0112,-0.0034,-0.0022,autosome,macro
1,1800001,1900000,1851199,10314,3869,174.25,183.5,-0.0259,-0.0086,-0.0055,autosome,macro
1,1900001,2000000,1949050,10473,3928,170.75,156.5,0.0435,0.0138,0.0087,autosome,macro
1,2000001,2100000,2047360,8919,3205,116.625,144.375,-0.1063,-0.0315,-0.0195,autosome,macro
1,2100001,2200000,2150058,8382,3243,96.875,112.125,-0.073,-0.0161,-0.0107,autosome,macro
1,2200001,2300000,2250814,7812,2962,96.125,119.125,-0.1069,-0.0295,-0.0183,autosome,macro
1,2300001,2400000,2349397,7728,2881,115.25,109.75,0.0244,0.0075,0.0047,autosome,macro
1,2400001,2500000,2450061,7725,2716,113.5,91.25,0.1087,0.0313,0.0194,autosome,macro
1,2500001,2600000,2550709,7885,2970,97.375,98.375,-0.0051,-0.0014,-0.0009,autosome,macro
1,2600001,2700000,2650394,8257,3099,106.75,124.25,-0.0758,-0.0205,-0.0129,autosome,macro
1,2700001,2800000,2752418,7298,2719,105,82.75,0.1185,0.0346,0.0207,autosome,macro
1,2800001,2900000,2849161,7797,2744,118.75,73.5,0.2354,0.0663,0.04,autosome,macro
1,2900001,3000000,2949385,7499,2830,131.5,105,0.1121,0.0367,0.022,autosome,macro
1,3000001,3100000,3048960,7398,2864,106.375,111.125,-0.0218,-0.0067,-0.0041,autosome,macro
1,3100001,3200000,3149967,6134,2062,69.5,78.75,-0.0624,-0.0182,-0.0112,autosome,macro
1,3200001,3300000,3249404,7455,3069,85.25,110.25,-0.1279,-0.0317,-0.0192,autosome,macro
1,3300001,3400000,3348363,8245,3240,138.875,121.625,0.0662,0.0189,0.0123,autosome,macro
1,3400001,3500000,3451864,6789,2316,99.5,105.5,-0.0293,-0.0097,-0.0062,autosome,macro
1,3500001,3600000,3548942,7022,2620,111.5,138,-0.1062,-0.0394,-0.0236,autosome,macro
1,3600001,3700000,3649494,7440,2870,104.125,114.875,-0.0491,-0.0155,-0.0097,autosome,macro
1,3700001,3800000,3752866,8402,3472,121.125,136.125,-0.0583,-0.0178,-0.0109,autosome,macro
1,3800001,3900000,3846936,7764,3042,131.375,105.375,0.1098,0.0344,0.0215,autosome,macro
1,3900001,4000000,3948221,7467,2735,123.375,102.875,0.0906,0.0303,0.0193,autosome,macro
1,4000001,4100000,4050462,7476,2798,95.25,112.75,-0.0841,-0.0214,-0.0137,autosome,macro
1,4100001,4200000,4147679,6175,2073,86.875,68.625,0.1174,0.0303,0.0199,autosome,macro
1,4200001,4300000,4251431,6759,2258,63.5,55.5,0.0672,0.0131,0.0081,autosome,macro
1,4300001,4400000,4350030,6744,2260,72,50,0.1803,0.034,0.0227,autosome,macro
1,4400001,4500000,4448093,7204,2458,81.75,62.25,0.1354,0.0291,0.0189,autosome,macro
1,4500001,4600000,4550614,6910,2599,69,43.5,0.2267,0.0384,0.0254,autosome,macro
1,4600001,4700000,4649344,6709,2348,46.875,51.625,-0.0482,-0.0079,-0.005,autosome,macro
1,4700001,4800000,4747168,6177,2265,47.875,32.875,0.1858,0.0276,0.0181,autosome,macro
1,4800001,4900000,4849637,6797,2407,62.75,63.5,-0.0059,-0.0011,-0.0008,autosome,macro
1,4900001,5000000,4950390,7151,2551,76.75,56.75,0.1498,0.0288,0.019,autosome,macro
1,5000001,5100000,5050034,7531,2740,69.375,58.375,0.0861,0.0143,0.0092,autosome,macro
1,5100001,5200000,5149874,7418,2622,71.25,69.75,0.0106,0.0021,0.0014,autosome,macro
1,5200001,5300000,5249662,7517,2650,87.5,109.5,-0.1117,-0.0269,-0.0174,autosome,macro
1,5300001,5400000,5350014,7171,2421,85.5,60.5,0.1712,0.0362,0.0234,autosome,macro
1,5400001,5500000,5448180,7061,2302,102.5,82,0.1111,0.028,0.0184,autosome,macro
1,5500001,5600000,5551065,6633,2121,77,82,-0.0314,-0.0071,-0.0048,autosome,macro
1,5600001,5700000,5649644,7676,2722,150.25,76.5,0.3252,0.081,0.0552,autosome,macro
1,5700001,5800000,5752087,6418,2334,79,55.5,0.1747,0.041,0.0273,autosome,macro
1,5800001,5900000,5851205,7446,3069,64.25,98.75,-0.2117,-0.0488,-0.0297,autosome,macro
1,5900001,6000000,5952380,8276,2983,127.5,125.75,0.0069,0.0024,0.0015,autosome,macro
1,6000001,6100000,6051756,7880,2692,99.25,106.25,-0.0341,-0.0103,-0.0064,autosome,macro
1,6100001,6200000,6150052,7469,2523,100.75,104.25,-0.0171,-0.0051,-0.0033,autosome,macro
1,6200001,6300000,6249224,6760,2218,82.875,95.875,-0.0727,-0.0227,-0.0138,autosome,macro
1,6300001,6400000,6349446,7429,2439,73.125,69.375,0.0263,0.0064,0.0039,autosome,macro
1,6400001,6500000,6453189,7212,2425,89.875,67.375,0.1431,0.0378,0.0249,autosome,macro
1,6500001,6600000,6550065,7712,2626,92.5,110.75,-0.0898,-0.0294,-0.0182,autosome,macro
1,6600001,6700000,6648863,7124,2444,77.5,95.5,-0.104,-0.0314,-0.0186,autosome,macro
1,6700001,6800000,6752827,7244,2592,90.125,90.375,-0.0014,-0.0004,-0.0003,autosome,macro
1,6800001,6900000,6851453,8035,2856,111.25,76.5,0.1851,0.0505,0.0328,autosome,macro
1,6900001,7000000,6949272,6718,2339,74.125,86.625,-0.0778,-0.0197,-0.0124,autosome,macro
1,7000001,7100000,7048202,7064,2593,111,81.75,0.1518,0.0461,0.0285,autosome,macro
